MODEL,SCENARIO,REGION,VARIABLE,UNIT,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
AIM-Enduse 12.1,EMF27-450-Conv,World,Final Energy|Industry,EJ/yr,112.833689,129.1446723,,135.4068157,,148.9332872,,175.7991574,,202.2385258,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,World,Final Energy|Liquids,EJ/yr,145.4737626,161.6703937,,148.0834191,,152.975881,,138.0658879,,82.8629097,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,World,Final Energy|Residential and Commercial,EJ/yr,121.8271547,132.0482012,,133.9954444,,149.9252929,,145.6681201,,128.6358889,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,World,Final Energy|Solar,EJ/yr,0.159583413,0.168171487,,0.084598483,,0.042677275,,0.021649101,,18.07975698,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,World,Final Energy|Solids,EJ/yr,64.5347137,76.69589626,,84.79949746,,78.21102508,,61.898838,,66.238599,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,World,Final Energy|Transportation,EJ/yr,92.05719344,104.8049996,,112.0230061,,114.3252871,,112.3146531,,103.755456,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,World,Population,million,6535.046682,6931.811378,,7698.556568,,8332.672223,,8824.170195,,9171.39124,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,World,Price|Carbon,US$2005/t CO2,0,0,,87.11440828,,249.5257215,,1940.90336,,14260.09393,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,World,Primary Energy,EJ/yr,458.1960111,518.8875378,,500.1508614,,521.2322919,,569.5318266,,581.4417603,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,World,Primary Energy|Biomass,EJ/yr,44.92043073,50.86787104,,47.84768407,,59.92701651,,118.2102464,,136.3854148,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,World,Primary Energy|Coal,EJ/yr,122.9797767,148.4147215,,129.9866894,,63.71459733,,26.81016932,,28.25723233,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,World,Primary Energy|Fossil,EJ/yr,392.1266558,445.1776404,,424.6506905,,414.3686269,,392.0137276,,362.3570583,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,World,Primary Energy|Gas,EJ/yr,101.3201122,109.950001,,137.5731458,,190.0373367,,227.4341924,,244.0156393,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,World,Primary Energy|Geothermal,EJ/yr,0.208427587,0.288510369,,0.444136926,,0.639453172,,1.130195552,,1.616989111,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,World,Primary Energy|Hydro,EJ/yr,10.4465517,11.81583703,,13.65963794,,16.76666553,,19.67166555,,20.1497667,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,World,Primary Energy|Non-Biomass Renewables,EJ/yr,11.19332414,12.65547891,,15.04593531,,31.96876534,,43.55401398,,66.66182189,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,World,Primary Energy|Nuclear,EJ/yr,9.955600448,10.1865474,,12.60655157,,14.9678831,,15.75383865,,16.03746525,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,World,Primary Energy|Ocean,EJ/yr,0,0,,0,,0,,0,,0,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,World,Primary Energy|Oil,EJ/yr,167.8267668,186.8129179,,157.0908552,,160.6166928,,137.7693659,,90.08418675,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,World,Primary Energy|Solar,EJ/yr,0.175372995,0.180433663,,0.091945047,,0.057877016,,4.009027767,,23.34927244,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,World,Primary Energy|Wind,EJ/yr,0.362971856,0.370697848,,0.850215395,,14.50476962,,18.74312511,,21.54579364,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,World,Secondary Energy|Electricity,EJ/yr,61.7098616,69.64298836,,82.24741616,,98.08120263,,120.9019248,,142.8848827,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,World,Secondary Energy|Electricity|Biomass,EJ/yr,0.764314681,0.845299225,,7.64E-05,,0.135104888,,4.164661714,,4.212548122,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,World,Secondary Energy|Electricity|Coal,EJ/yr,24.31214417,28.43225297,,30.81584477,,7.865380565,,0,,0,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,World,Secondary Energy|Electricity|Gas,EJ/yr,12.36669775,13.90778073,,24.61232505,,44.22447186,,58.58605034,,75.2107935,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,World,Secondary Energy|Electricity|Geothermal,EJ/yr,0.195702961,0.275451343,,0.434948107,,0.630584728,,1.119244687,,1.607904647,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,World,Secondary Energy|Electricity|Hydro,EJ/yr,10.34208618,11.69767866,,13.52304156,,16.59899887,,19.47494889,,19.94826903,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,World,Secondary Energy|Electricity|Nuclear,EJ/yr,9.455046748,9.668798245,,11.92809336,,14.10669236,,14.82651535,,15.09005831,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,World,Secondary Energy|Electricity|Ocean,EJ/yr,0,0,,0,,0,,0,,0,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,World,Secondary Energy|Electricity|Oil,EJ/yr,3.895107674,4.432767162,,0.075524913,,0,,0,,0,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,World,Secondary Energy|Electricity|Solar,EJ/yr,0.015789581,0.012262176,,0.007346564,,0.015199741,,3.987378666,,5.269515461,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,World,Secondary Energy|Electricity|Wind,EJ/yr,0.362971856,0.370697848,,0.850215395,,14.50476962,,18.74312511,,21.54579364,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-FullTech,ASIA,Emissions|CO2,Mt CO2/yr,10540.73749,13160.11072,,11533.27499,,8652.889143,,7250.489447,,5715.846273,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-FullTech,ASIA,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,9126.178808,11910.02185,,10382.22297,,7719.552559,,6672.00535,,5477.779183,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-FullTech,ASIA,Emissions|CO2|Land Use,Mt CO2/yr,1414.558679,1250.08887,,1151.052014,,933.3365836,,578.484097,,238.06709,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-FullTech,ASIA,Final Energy,EJ/yr,88.6174471,110.8523132,,120.3741727,,142.0609833,,170.0349809,,199.0125086,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-FullTech,ASIA,Final Energy|Industry,EJ/yr,38.98875857,50.8786599,,52.94762686,,62.06664674,,77.4071231,,91.39227626,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-FullTech,ASIA,Final Energy|Transportation,EJ/yr,12.49857051,17.67310178,,23.75410249,,29.79468146,,37.12580157,,47.61362802,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-FullTech,ASIA,Population,million,3491.875355,3693.739942,,4070.700815,,4347.513158,,4521.687544,,4603.349371,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-FullTech,ASIA,Primary Energy,EJ/yr,133.5556685,168.7442261,,159.4243806,,172.4968991,,222.1121605,,268.7624339,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-FullTech,OECD90,Emissions|CO2,Mt CO2/yr,12085.84804,12744.15811,,10619.23938,,7902.021932,,5866.654493,,2612.476465,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-FullTech,OECD90,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,12000.81447,12669.01134,,10550.04602,,7845.916133,,5831.879994,,2598.165503,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-FullTech,OECD90,Emissions|CO2|Land Use,Mt CO2/yr,85.033573,75.1467753,,69.19335827,,56.10579873,,34.77449924,,14.31096185,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-FullTech,OECD90,Final Energy,EJ/yr,142.2490172,147.0223744,,137.6023615,,136.3398686,,138.3789064,,139.8630577,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-FullTech,OECD90,Final Energy|Industry,EJ/yr,45.42835008,46.42635911,,45.00649694,,45.97055026,,48.04106754,,50.09768707,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-FullTech,OECD90,Final Energy|Transportation,EJ/yr,46.96600617,48.81376972,,43.13207431,,38.28352424,,35.80279618,,32.73576927,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-FullTech,OECD90,Population,million,966.004837,997.779838,,1049.300245,,1084.902159,,1107.542785,,1119.499257,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-FullTech,OECD90,Primary Energy,EJ/yr,193.1202754,202.2832023,,175.4782388,,173.3664383,,180.4260646,,188.3855568,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-FullTech,World,Emissions|CO2,Mt CO2/yr,34492.04991,38313.59053,,33787.55125,,26579.54357,,21132.98025,,13133.48465,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-FullTech,World,Emissions|CO2|Carbon Capture and Storage,Mt CO2/yr,0,0,,0,,2562.202263,,6168.685723,,9875.097976,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-FullTech,World,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,29048.11737,33502.62046,,29357.72476,,22987.59545,,18906.68278,,12217.28287,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-FullTech,World,Emissions|CO2|Fossil Fuels and Industry|Energy Demand,Mt CO2/yr,16226.05004,18797.3321,,18963.52366,,17462.20817,,15754.73526,,14327.86407,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-FullTech,World,Emissions|CO2|Fossil Fuels and Industry|Energy Demand|Industry,Mt CO2/yr,6408.762993,7931.638093,,7743.498104,,5900.096335,,5583.370846,,5417.342897,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-FullTech,World,Emissions|CO2|Fossil Fuels and Industry|Energy Demand|Residential and Commercial,Mt CO2/yr,2768.712937,2933.676825,,2950.314337,,3289.079075,,3246.328371,,3235.395867,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-FullTech,World,Emissions|CO2|Fossil Fuels and Industry|Energy Demand|Transportation,Mt CO2/yr,6334.343748,7217.786815,,7540.191157,,7542.440151,,6193.887266,,4947.219419,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-FullTech,World,Emissions|CO2|Fossil Fuels and Industry|Energy Supply,Mt CO2/yr,12686.70206,14569.92309,,10258.83583,,5390.022005,,3016.582254,,-2245.946465,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-FullTech,World,Emissions|CO2|Land Use,Mt CO2/yr,5443.932536,4810.970075,,4429.826492,,3591.948126,,2226.297463,,916.2017786,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-FullTech,World,Final Energy,EJ/yr,326.7180372,365.997873,,375.2869199,,411.1887845,,468.7577493,,525.575489,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-FullTech,World,Final Energy|Electricity,EJ/yr,54.17821039,61.27205358,,69.30330559,,85.59984678,,108.0315439,,135.0437904,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-FullTech,World,Final Energy|Gases,EJ/yr,50.94413392,53.83863682,,67.81808014,,93.47400095,,114.8408926,,135.6705622,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-FullTech,World,Final Energy|Geothermal,EJ/yr,0.127246257,0.130590265,,0.091888192,,0.088684443,,0.090364511,,0.095245703,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-FullTech,World,Final Energy|Heat,EJ/yr,11.30038687,12.22213091,,7.388475589,,4.75519182,,6.727999293,,9.229424441,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-FullTech,World,Final Energy|Hydrogen,EJ/yr,0,0,,0,,0,,2.031125847,,11.34639483,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-FullTech,World,Final Energy|Industry,EJ/yr,112.833689,129.1446723,,131.7406349,,148.9119557,,177.029572,,205.0246929,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-FullTech,World,Final Energy|Liquids,EJ/yr,145.4737626,161.6703937,,147.0643622,,152.1788643,,160.4587121,,164.3866384,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-FullTech,World,Final Energy|Residential and Commercial,EJ/yr,121.8271547,132.0482012,,133.5383258,,149.595589,,165.7954643,,179.6937042,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-FullTech,World,Final Energy|Solar,EJ/yr,0.159583413,0.168171487,,0.084598483,,0.042677275,,0.021649102,,0.011101122,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-FullTech,World,Final Energy|Solids,EJ/yr,64.5347137,76.69589626,,83.53620974,,75.04951894,,76.55546198,,69.7923319,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-FullTech,World,Final Energy|Transportation,EJ/yr,92.05719344,104.8049996,,110.0079593,,112.6812398,,125.932713,,140.8570918,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-FullTech,World,Population,million,6535.046682,6931.811378,,7698.556568,,8332.672223,,8824.170195,,9171.39124,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-FullTech,World,Price|Carbon,US$2005/t CO2,0,0,,124.3338332,,257.3240467,,283.69784,,508.7391351,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-FullTech,World,Primary Energy,EJ/yr,458.1960111,518.8104229,,481.6495307,,505.5660901,,603.1680509,,705.3039709,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-FullTech,World,Primary Energy|Biomass,EJ/yr,44.92043073,50.86513631,,48.63877037,,60.40588204,,140.6846824,,245.0536481,,,,,,,,,,
