MODEL,SCENARIO,REGION,VARIABLE,UNIT,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
AIM-Enduse 12.1,EMF27-450-Conv,World,Emissions|CO2,Mt CO2/yr,34492.04991,38321.77599,,35588.65749,,28531.67507,,20287.46001,,13367.27051,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,World,Emissions|CO2|Carbon Capture and Storage,Mt CO2/yr,0,0,,0,,2563.111102,,6431.453344,,10005.47245,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,World,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,29048.11737,33510.80591,,31158.831,,24939.72694,,18061.16255,,12451.06873,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,World,Emissions|CO2|Fossil Fuels and Industry|Energy Demand,Mt CO2/yr,16226.05004,18797.3321,,19249.16385,,17729.33299,,14305.00465,,10695.83438,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,World,Emissions|CO2|Fossil Fuels and Industry|Energy Demand|Industry,Mt CO2/yr,6408.762993,7931.638093,,7917.084691,,6027.528155,,4963.003331,,5718.252963,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,World,Emissions|CO2|Fossil Fuels and Industry|Energy Demand|Residential and Commercial,Mt CO2/yr,2768.712937,2933.676825,,2921.439296,,3293.357097,,2261.110749,,352.4370451,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,World,Emissions|CO2|Fossil Fuels and Industry|Energy Demand|Transportation,Mt CO2/yr,6334.343748,7217.786815,,7681.1198,,7676.994351,,6349.12951,,3892.794222,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,World,Emissions|CO2|Fossil Fuels and Industry|Energy Supply,Mt CO2/yr,12686.70206,14578.10855,,11774.30189,,7075.028686,,3620.792632,,1619.869087,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,World,Emissions|CO2|Fossil Fuels and Industry|Energy Supply|Electricity,Mt CO2/yr,10168.56195,11846.65173,,9437.487256,,4860.099232,,3051.70834,,4477.152791,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,World,Emissions|CO2|Land Use,Mt CO2/yr,5443.932536,4810.970075,,4429.826492,,3591.948126,,2226.297463,,916.2017786,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,World,Emissions|F-Gases,Mt CO2-equiv/yr,469.2425355,675.5798162,,776.8052235,,802.5284892,,664.6885961,,539.6936775,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,World,Emissions|Kyoto Gases,Mt CO2-equiv/yr,45262.65028,49877.52546,,44440,,36360,,27270,,19627.66667,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,World,Emissions|N2O,kt N2O/yr,9589.551477,10234.40002,,9657.620681,,8738.192526,,7469.807884,,6336.514782,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,World,Energy Service|Transportation|Freight,bn tkm/yr,17085.87006,19139.76684,,23872.36985,,29376.05841,,36083.18158,,43753.91513,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,World,Energy Service|Transportation|Passenger,bn pkm/yr,27600.27481,30731.31554,,38206.46305,,47380.29892,,59501.31199,,74278.36138,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,World,Final Energy,EJ/yr,326.7180372,365.997873,,381.4252662,,413.1838673,,433.7819305,,434.6298707,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,World,Final Energy|Electricity,EJ/yr,54.17821039,61.27205358,,72.35746748,,85.97271022,,107.787767,,127.0228547,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,World,Final Energy|Gases,EJ/yr,50.94413392,53.83863682,,68.85205235,,91.1502931,,110.6120955,,98.86090577,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,World,Final Energy|Geothermal,EJ/yr,0.127246257,0.130590265,,0.091888193,,0.088684443,,0.109508651,,0.090844639,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,World,Final Energy|Heat,EJ/yr,11.30038687,12.22213091,,7.156343129,,4.742596151,,4.718809399,,1.852655094,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,World,Final Energy|Hydrogen,EJ/yr,0,0,,0,,0,,10.56737496,,39.62134475,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,World,Final Energy|Industry,EJ/yr,112.833689,129.1446723,,135.4068157,,148.9332872,,175.7991574,,202.2385258,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,World,Final Energy|Industry|Electricity,EJ/yr,21.51077521,25.27055746,,31.27737996,,37.33002629,,47.35721944,,57.33350607,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,World,Final Energy|Industry|Gases,EJ/yr,23.46954848,25.37265847,,32.12626397,,48.5216823,,77.20396746,,90.26567319,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,World,Final Energy|Industry|Heat,EJ/yr,4.105989961,4.81153155,,2.57195093,,1.312968312,,2.699491027,,1.196249212,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,World,Final Energy|Industry|Hydrogen,EJ/yr,0,0,,0,,0,,0,,0,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,World,Final Energy|Industry|Liquids,EJ/yr,36.38506511,38.78371187,,23.30583613,,23.59749329,,25.18854685,,24.24186525,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,World,Final Energy|Industry|Solids,EJ/yr,27.36231025,34.90621294,,46.12538476,,38.17111704,,23.3499326,,29.20123206,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,World,Final Energy|Industry|Solids|Biomass,EJ/yr,7.121696507,8.364971165,,10.97114725,,15.91677699,,22.09401434,,28.01925429,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,World,Final Energy|Industry|Solids|Coal,EJ/yr,20.24061374,26.54124178,,35.1542375,,22.25434005,,1.255918262,,1.181977769,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,World,Final Energy|Liquids,EJ/yr,145.4737626,161.6703937,,148.0834191,,152.975881,,138.0658879,,82.8629097,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,World,Final Energy|Residential and Commercial,EJ/yr,121.8271547,132.0482012,,133.9954444,,149.9252929,,145.6681201,,128.6358889,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,World,Final Energy|Residential and Commercial|Electricity,EJ/yr,31.81355646,35.15460338,,40.39416745,,48.01995168,,59.59730161,,60.18953224,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,World,Final Energy|Residential and Commercial|Gases,EJ/yr,24.87634621,25.86773912,,31.10114051,,36.6405277,,28.80409389,,5.996993342,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,World,Final Energy|Residential and Commercial|Heat,EJ/yr,7.194396904,7.410599356,,4.584392199,,3.429627839,,2.019318372,,0.656405881,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,World,Final Energy|Residential and Commercial|Hydrogen,EJ/yr,0,0,,0,,0,,0.059058059,,0.436983018,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,World,Final Energy|Residential and Commercial|Liquids,EJ/yr,20.48362202,21.52681426,,19.06514489,,21.66391593,,16.508285,,6.148005879,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,World,Final Energy|Residential and Commercial|Solids,EJ/yr,37.17240345,41.78968332,,38.6741127,,40.03990804,,38.54890541,,37.03736694,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,World,Final Energy|Residential and Commercial|Solids|Biomass,EJ/yr,32.53239469,36.70880649,,34.54766848,,36.63032091,,37.57050708,,36.40530055,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,World,Final Energy|Residential and Commercial|Solids|Coal,EJ/yr,4.640008765,5.080876827,,4.126444223,,3.409587128,,0.978398329,,0.632066393,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,World,Final Energy|Solar,EJ/yr,0.159583413,0.168171487,,0.084598483,,0.042677275,,0.021649101,,18.07975698,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,World,Final Energy|Solids,EJ/yr,64.5347137,76.69589626,,84.79949746,,78.21102508,,61.898838,,66.238599,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,World,Final Energy|Solids|Biomass,EJ/yr,39.65409119,45.07377766,,45.51881573,,52.5470979,,59.66452141,,64.42455483,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,World,Final Energy|Solids|Biomass|Traditional,EJ/yr,32.53239469,36.70880649,,34.54766848,,36.63032091,,37.57050708,,36.40530055,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,World,Final Energy|Solids|Coal,EJ/yr,24.88062251,31.62211861,,39.28068173,,25.66392718,,2.234316591,,1.814044162,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,World,Final Energy|Transportation,EJ/yr,92.05719344,104.8049996,,112.0230061,,114.3252871,,112.3146531,,103.755456,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,World,Final Energy|Transportation|Electricity,EJ/yr,0.85387872,0.846892737,,0.685920072,,0.622732256,,0.833246001,,9.499816414,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,World,Final Energy|Transportation|Freight,EJ/yr,35.04366946,40.87996327,,44.9228813,,44.46199319,,47.4076782,,45.74958995,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,World,Final Energy|Transportation|Gases,EJ/yr,2.598239236,2.598239236,,5.624647865,,5.988083099,,4.604034138,,2.598239236,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,World,Final Energy|Transportation|Hydrogen,EJ/yr,0,0,,0,,0,,10.5083169,,39.18436173,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,World,Final Energy|Transportation|Liquids,EJ/yr,88.60507548,101.3598676,,105.7124381,,107.7144718,,96.36905601,,52.47303858,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,World,Final Energy|Transportation|Passenger,EJ/yr,54.09433692,61.00584925,,64.18093771,,66.94410688,,61.98778779,,55.08667895,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,World,GDP|MER,billion US$2005/yr,44940.469,49283.15572,,66058.60843,,88616.16869,,117479.9394,,151103.8714,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,World,Policy Cost|Additional Total Energy System Cost,billion US$2005/yr,0,0,,283.7369153,,858.0831123,,3626.65781,,14096.38494,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,World,Population,million,6535.046682,6931.811378,,7698.556568,,8332.672223,,8824.170195,,9171.39124,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,World,Price|Carbon,US$2005/t CO2,0,0,,87.11440828,,249.5257215,,1940.90336,,14260.09393,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,World,Primary Energy,EJ/yr,458.1960111,518.8875378,,500.1508614,,521.2322919,,569.5318266,,581.4417603,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,World,Primary Energy|Biomass,EJ/yr,44.92043073,50.86787104,,47.84768407,,59.92701651,,118.2102464,,136.3854148,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,World,Primary Energy|Biomass|w/ CCS,EJ/yr,0,0,,0,,0,,28.32358593,,69.78744813,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,World,Primary Energy|Biomass|w/o CCS,EJ/yr,44.92043073,50.86787104,,47.84768407,,59.92701651,,89.88666047,,66.59796666,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,World,Primary Energy|Coal,EJ/yr,122.9797767,148.4147215,,129.9866894,,63.71459733,,26.81016932,,28.25723233,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,World,Primary Energy|Coal|w/ CCS,EJ/yr,0,0,,0,,7.907191836,,0,,0,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,World,Primary Energy|Coal|w/o CCS,EJ/yr,122.9797767,148.4147215,,129.9866894,,55.8074055,,26.81016932,,28.25723233,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,World,Primary Energy|Fossil,EJ/yr,392.1266558,445.1776404,,424.6506905,,414.3686269,,392.0137276,,362.3570583,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,World,Primary Energy|Fossil|w/ CCS,EJ/yr,0,0,,0,,18.97467506,,31.74007314,,16.09900573,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,World,Primary Energy|Fossil|w/o CCS,EJ/yr,392.1266558,445.1776404,,424.6506905,,395.3939519,,360.2736545,,346.2580526,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,World,Primary Energy|Gas,EJ/yr,101.3201122,109.950001,,137.5731458,,190.0373367,,227.4341924,,244.0156393,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,World,Primary Energy|Gas|w/ CCS,EJ/yr,0,0,,0,,11.06748323,,31.74007314,,16.09900573,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,World,Primary Energy|Gas|w/o CCS,EJ/yr,101.3201122,109.950001,,137.5731458,,178.9698535,,195.6941192,,227.9166335,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,World,Primary Energy|Geothermal,EJ/yr,0.208427587,0.288510369,,0.444136926,,0.639453172,,1.130195552,,1.616989111,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,World,Primary Energy|Hydro,EJ/yr,10.4465517,11.81583703,,13.65963794,,16.76666553,,19.67166555,,20.1497667,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,World,Primary Energy|Non-Biomass Renewables,EJ/yr,11.19332414,12.65547891,,15.04593531,,31.96876534,,43.55401398,,66.66182189,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,World,Primary Energy|Nuclear,EJ/yr,9.955600448,10.1865474,,12.60655157,,14.9678831,,15.75383865,,16.03746525,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,World,Primary Energy|Ocean,EJ/yr,0,0,,0,,0,,0,,0,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,World,Primary Energy|Oil,EJ/yr,167.8267668,186.8129179,,157.0908552,,160.6166928,,137.7693659,,90.08418675,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,World,Primary Energy|Oil|w/ CCS,EJ/yr,0,0,,0,,0,,0,,0,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,World,Primary Energy|Oil|w/o CCS,EJ/yr,167.8267668,186.8129179,,157.0908552,,160.6166928,,137.7693659,,90.08418675,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,World,Primary Energy|Solar,EJ/yr,0.175372995,0.180433663,,0.091945047,,0.057877016,,4.009027767,,23.34927244,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,World,Primary Energy|Wind,EJ/yr,0.362971856,0.370697848,,0.850215395,,14.50476962,,18.74312511,,21.54579364,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,World,Secondary Energy|Electricity,EJ/yr,61.7098616,69.64298836,,82.24741616,,98.08120263,,120.9019248,,142.8848827,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,World,Secondary Energy|Electricity|Biomass,EJ/yr,0.764314681,0.845299225,,7.64E-05,,0.135104888,,4.164661714,,4.212548122,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,World,Secondary Energy|Electricity|Biomass|w/ CCS,EJ/yr,0,0,,0,,0,,3.31169138,,4.212548122,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,World,Secondary Energy|Electricity|Biomass|w/o CCS,EJ/yr,0.764314681,0.845299225,,7.64E-05,,0.135104888,,0.852970334,,0,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,World,Secondary Energy|Electricity|Coal,EJ/yr,24.31214417,28.43225297,,30.81584477,,7.865380565,,0,,0,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,World,Secondary Energy|Electricity|Coal|w/ CCS,EJ/yr,0,0,,0,,3.014520656,,0,,0,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,World,Secondary Energy|Electricity|Coal|w/o CCS,EJ/yr,24.31214417,28.43225297,,30.81584477,,4.850859909,,0,,0,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,World,Secondary Energy|Electricity|Gas,EJ/yr,12.36669775,13.90778073,,24.61232505,,44.22447186,,58.58605034,,75.2107935,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,World,Secondary Energy|Electricity|Gas|w/ CCS,EJ/yr,0,0,,0,,5.664750388,,16.60149575,,8.573635012,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,World,Secondary Energy|Electricity|Gas|w/o CCS,EJ/yr,12.36669775,13.90778073,,24.61232505,,38.55972147,,41.98455459,,66.63715849,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,World,Secondary Energy|Electricity|Geothermal,EJ/yr,0.195702961,0.275451343,,0.434948107,,0.630584728,,1.119244687,,1.607904647,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,World,Secondary Energy|Electricity|Hydro,EJ/yr,10.34208618,11.69767866,,13.52304156,,16.59899887,,19.47494889,,19.94826903,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,World,Secondary Energy|Electricity|Non-Biomass Renewables,EJ/yr,10.91655058,12.35609002,,14.81555163,,31.74955296,,43.32469736,,48.37148278,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,World,Secondary Energy|Electricity|Nuclear,EJ/yr,9.455046748,9.668798245,,11.92809336,,14.10669236,,14.82651535,,15.09005831,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-Conv,World,Secondary Energy|Electricity|Ocean,EJ/yr,0,0,,0,,0,,0,,0,,,,,,,,,,
