MODEL,SCENARIO,REGION,VARIABLE,UNIT,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
AIM/CGE 2.0,SSP1-19,World,Primary Energy|Secondary Energy Trade,EJ/yr,,,,,,-11.5508,,,,,-13.0199,,,,,,,,,,-15.7606,,,,,,,,,,-19.1139,,,,,,,,,,-25.8293,,,,,,,,,,-31.3709,,,,,,,,,,-34.5951,,,,,,,,,,-35.2172,,,,,,,,,,-34.3868,,,,,,,,,,-32.8241,,,,,,,,,,-31.2118
AIM/CGE 2.0,SSP1-19,World,Primary Energy|Solar,EJ/yr,,,,,,0.0102,,,,,0.1673,,,,,,,,,,0.8885,,,,,,,,,,14.6959,,,,,,,,,,37.3203,,,,,,,,,,61.8599,,,,,,,,,,76.9727,,,,,,,,,,84.562,,,,,,,,,,89.7462,,,,,,,,,,90.5736,,,,,,,,,,90.0283
AIM/CGE 2.0,SSP1-19,World,Primary Energy|Wind,EJ/yr,,,,,,0.3677,,,,,0.7554,,,,,,,,,,4.365,,,,,,,,,,38.3309,,,,,,,,,,80.4585,,,,,,,,,,107.0239,,,,,,,,,,124.7278,,,,,,,,,,128.7446,,,,,,,,,,127.737,,,,,,,,,,123.2804,,,,,,,,,,119.8764
AIM/CGE 2.0,SSP1-19,World,Secondary Energy|Electricity,EJ/yr,,,,,,65.0535,,,,,76.5698,,,,,,,,,,98.6638,,,,,,,,,,136.0704,,,,,,,,,,197.6395,,,,,,,,,,248.0128,,,,,,,,,,283.3295,,,,,,,,,,297.5546,,,,,,,,,,300.3059,,,,,,,,,,295.3241,,,,,,,,,,288.1297
AIM/CGE 2.0,SSP1-19,World,Secondary Energy|Electricity|Biomass,EJ/yr,,,,,,1.3579,,,,,1.3591,,,,,,,,,,1.5108,,,,,,,,,,2.4489,,,,,,,,,,8.3421,,,,,,,,,,10.5545,,,,,,,,,,15.8156,,,,,,,,,,19.1771,,,,,,,,,,20.0627,,,,,,,,,,20.9585,,,,,,,,,,21.4884
AIM/CGE 2.0,SSP1-19,World,Secondary Energy|Electricity|Coal,EJ/yr,,,,,,25.2933,,,,,30.6008,,,,,,,,,,36.7594,,,,,,,,,,13.8433,,,,,,,,,,7.8919,,,,,,,,,,8.4518,,,,,,,,,,4.1205,,,,,,,,,,2.7531,,,,,,,,,,1.8812,,,,,,,,,,1.7077,,,,,,,,,,1.3168
AIM/CGE 2.0,SSP1-19,World,Secondary Energy|Electricity|Gas,EJ/yr,,,,,,13.3435,,,,,15.3129,,,,,,,,,,19.7477,,,,,,,,,,17.8866,,,,,,,,,,12.9407,,,,,,,,,,12.8663,,,,,,,,,,10.4764,,,,,,,,,,9.2834,,,,,,,,,,8.1149,,,,,,,,,,8.4263,,,,,,,,,,7.8385
AIM/CGE 2.0,SSP1-19,World,Secondary Energy|Electricity|Geothermal,EJ/yr,,,,,,0.1942,,,,,0.2034,,,,,,,,,,0.2424,,,,,,,,,,0.2925,,,,,,,,,,0.3548,,,,,,,,,,0.4172,,,,,,,,,,0.4944,,,,,,,,,,0.5726,,,,,,,,,,0.6395,,,,,,,,,,0.6944,,,,,,,,,,0.7371
AIM/CGE 2.0,SSP1-19,World,Secondary Energy|Electricity|Hydro,EJ/yr,,,,,,10.4246,,,,,12.2082,,,,,,,,,,15.8805,,,,,,,,,,22.9588,,,,,,,,,,23.7734,,,,,,,,,,21.6375,,,,,,,,,,24.0898,,,,,,,,,,25.3545,,,,,,,,,,25.7569,,,,,,,,,,25.622,,,,,,,,,,25.2723
AIM/CGE 2.0,SSP1-19,World,Secondary Energy|Electricity|Non-Biomass Renewables,EJ/yr,,,,,,11.0315,,,,,13.3687,,,,,,,,,,21.4144,,,,,,,,,,76.3195,,,,,,,,,,141.9527,,,,,,,,,,190.989,,,,,,,,,,226.3404,,,,,,,,,,239.2953,,,,,,,,,,243.9476,,,,,,,,,,240.2451,,,,,,,,,,235.9952
